0001	1	1	13077999
0002	1	13078000	17150659
0003	1	17150660	29953083
0004	1	29953084	103888907
0005	1	103888908	120722157
0006	1	120722158	132010435
0007	1	132010436	142756023
0008	1	142756024	149484646
0009	1	149484647	205997708
0010	1	205997709	223772847
0011	1	223772848	235217212
0012	1	235217213	248983211
0013	1	248983212	249250621
0014	2	1	5068789
0015	2	5068790	16304725
0016	2	16304726	21165614
0017	2	21165615	33092698
0018	2	33092699	33142193
0019	2	33142194	87693207
0020	2	87693208	93826172
0021	2	93826173	110180338
0022	2	110180339	149740583
0023	2	149740584	234028742
0024	2	234028743	243199373
0025	3	1	66220271
0026	3	66220272	92004855
0027	3	92004856	194044607
0028	3	194044608	198022430
0029	4	1	9299643
0030	4	9299644	31829168
0031	4	31829169	49413942
0032	4	49413943	59764334
0033	4	59764335	75439830
0034	4	75439831	191154276
0035	5	1	17555658
0036	5	17555659	47905642
0037	5	47905643	91661129
0038	5	91661130	138812074
0039	5	138812075	155163728
0040	5	155163729	180915260
0041	6	1	58112660
0042	6	58112661	62153590
0043	6	62153591	95755544
0044	6	95755545	157584468
0045	6	157584469	167992074
0046	6	167992075	171115067
0047	7	1	257485
0048	7	257486	50390632
0049	7	50390633	59554332
0050	7	59554333	74740725
0051	7	74740726	100581044
0052	7	100581045	130204524
0053	7	130204525	139391878
0054	7	139391879	154320635
0055	7	154320636	159138663
0056	8	1	12116855
0057	8	12116856	45338888
0058	8	45338889	48133050
0059	8	48133051	86651452
0060	8	86651453	142791516
0061	8	142791517	146364022
0062	9	1	39688687
0063	9	39688688	47110134
0064	9	47110135	56392680
0065	9	56392681	66429657
0066	9	66429658	70785469
0067	9	70785470	92393417
0068	9	92393418	92603797
0069	9	92603798	133148061
0070	9	133148062	141213431
0071	10	1	17999676
0072	10	17999677	38843836
0073	10	38843837	49145537
0074	10	49145538	51423846
0075	10	51423847	125894473
0076	10	125894474	135534747
0077	11	1	1187760
0078	11	1187761	50937354
0079	11	50937355	53144206
0080	11	53144207	69114802
0081	11	69114803	87713379
0082	11	87713380	96362585
0083	11	96362586	135006516
0084	12	1	7214877
0085	12	7214878	36356695
0086	12	36356696	109398471
0087	12	109398472	122555624
0088	12	122555625	132756993
0089	12	132756994	133851895
0090	13	1	86835325
0091	13	86835326	112428995
0092	13	112428996	115169878
0093	14	1	107349540
0094	15	1	20914855
0095	15	20914856	29184444
0096	15	29184445	82854646
0097	15	82854647	85009474
0098	15	85009475	102531392
0099	16	1	8661922
0100	16	8661923	34098151
0101	16	34098152	40835802
0102	16	40835803	88414384
0103	16	88414385	90354753
0104	17	1	21616609
0105	17	21616610	34700849
0106	17	34700850	62435761
0107	17	62435762	77571462
0108	17	77571463	81195210
0109	18	1	16960899
0110	18	16960900	52134137
0111	18	52134138	72308354
0112	18	72308355	78077248
0113	19	1	8712199
0114	19	8712200	20548416
0115	19	20548417	26181783
0116	19	26181784	59128983
0117	20	1	27869570
0118	20	27869571	34922086
0119	20	34922087	61116438
0120	20	61116439	63025520
0121	21	1	10059921
0122	21	10059922	12763130
0123	21	12763131	42980560
0124	21	42980561	48129895
0125	22	1	16772851
0126	22	16772852	20559432
0127	22	20559433	50389778
0128	22	50389779	51304566
0129	X	1	10763675
0130	X	10763676	37123257
0131	X	37123258	49267998
0132	X	49267999	60132013
0133	X	60132014	76678693
0134	X	76678694	113542669
0135	X	113542670	120038236
0136	X	120038237	143532325
0137	X	143532326	152302100
0138	X	152302101	155270560
0139	Y	1	9266323
0140	Y	9266324	20168886
0141	Y	20168887	23926429
0142	Y	23926430	43819362
0143	Y	43819363	58942657
0144	Y	58942658	59373566
0145	MT	1	16569
